,section_num,Vid idx,title,duration,done
0,1,-1,Section 1: Introduction,0 days 00:00:00,True
1,1,1,1. PyTorch for Deep Learning,0 days 00:04:00,True
2,1,2,2. Course Welcome and What Is Deep Learning,0 days 00:06:00,True
3,1,3,3. Join Our Online Classroom!,0 days 00:04:00,True
4,1,4,4. Exercise: Meet Your Classmates + Instructor,0 days 00:02:00,True
5,1,5,5. Free Course Book + Code Resources + Asking Questions + Getting Help,0 days 00:01:00,True
6,1,6,6. ZTM Resources,0 days 00:04:00,True
7,1,7,7. Machine Learning + Python Monthly Newsletters,0 days 00:01:00,True
8,2,-1,Section 2: PyTorch Fundamentals,0 days 00:00:00,True
9,2,8,8. Why Use Machine Learning or Deep Learning,0 days 00:04:00,True
10,2,9,9. The Number 1 Rule of Machine Learning and What Is Deep Learning Good For,0 days 00:06:00,True
11,2,10,10. Machine Learning vs. Deep Learning,0 days 00:06:00,True
12,2,11,11. Anatomy of Neural Networks,0 days 00:09:00,True
13,2,12,12. Different Types of Learning Paradigms,0 days 00:05:00,True
14,2,13,13. What Can Deep Learning Be Used For,0 days 00:06:00,True
15,2,14,14. What Is and Why PyTorch,0 days 00:10:00,True
16,2,15,15. What Are Tensors,0 days 00:04:00,True
17,2,16,16. What We Are Going To Cover With PyTorch,0 days 00:06:00,True
18,2,17,17. How To and How Not To Approach This Course,0 days 00:05:00,True
19,2,18,18. Important Resources For This Course,0 days 00:05:00,True
20,2,19,19. Getting Setup to Write PyTorch Code,0 days 00:08:00,True
21,2,20,20. Introduction to PyTorch Tensors,0 days 00:13:00,True
22,2,21,21. Creating Random Tensors in PyTorch,0 days 00:10:00,True
23,2,22,22. Creating Tensors With  Zeros and Ones in PyTorch,0 days 00:03:00,True
24,2,23,23. Creating a Tensor Range and Tensors Like Other Tensors,0 days 00:05:00,True
25,2,24,24. Dealing With Tensor Data Types,0 days 00:09:00,True
26,2,25,25. Getting Tensor Attributes,0 days 00:08:00,True
27,2,26,26. Manipulating Tensors (Tensor Operations),0 days 00:06:00,True
28,2,27,27. Matrix Multiplication (Part 1),0 days 00:10:00,True
29,2,28,28. Matrix Multiplication (Part 2): The Two Main Rules of Matrix Multiplication,0 days 00:08:00,True
30,2,29,29. Matrix Multiplication (Part 3): Dealing With Tensor Shape Errors,0 days 00:13:00,True
31,2,30,30. Finding the Min Max Mean and  Sum of Tensors (Tensor Aggregation),0 days 00:06:00,True
32,2,31,31. Finding The Positional Min and Max of Tensors,0 days 00:03:00,True
33,2,32,"32. Reshaping, Viewing and Stacking Tensors",0 days 00:14:00,True
34,2,33,"33. Squeezing, Unsqueezing and Permuting Tensors",0 days 00:12:00,True
35,2,34,34. Selecting Data From Tensors (Indexing),0 days 00:10:00,True
36,2,35,35. PyTorch Tensors and NumPy,0 days 00:09:00,True
37,2,36,36. PyTorch Reproducibility (Taking the Random Out of Random),0 days 00:11:00,True
38,2,37,37. Different Ways of Accessing a GPU in PyTorch,0 days 00:12:00,True
39,2,38,38. Setting up Device-Agnostic Code and Putting Tensors On and Off the GPU,0 days 00:08:00,True
40,2,39,39. PyTorch Fundamentals: Exercises and Extra-Curriculum,0 days 00:05:00,True
41,3,-1,Section 3: PyTorch Workflow,0 days 00:00:00,True
42,3,40,40. Introduction and Where You Can Get Help,0 days 00:03:00,True
43,3,41,41. Getting Setup and What We Are Covering,0 days 00:07:00,True
44,3,42,42. Creating a Simple Dataset Using the Linear Regression Formula,0 days 00:10:00,True
45,3,43,43. Splitting Our Data Into Training and Test Sets,0 days 00:08:00,True
46,3,44,44. Building a function to Visualize Our Data,0 days 00:08:00,True
47,3,45,45. Creating Our First PyTorch Model for Linear Regression,0 days 00:14:00,True
48,3,46,46. Breaking Down What's Happening in Our PyTorch Linear regression Model,0 days 00:06:00,True
49,3,47,47. Discussing Some of the Most Important PyTorch Model Building Classes,0 days 00:06:00,True
50,3,48,48. Checking Out the Internals of Our PyTorch Model,0 days 00:10:00,True
51,3,49,49. Making Predictions With Our Random Model Using Inference Mode,0 days 00:11:00,True
52,3,50,50. Training a Model Intuition (The Things We Need),0 days 00:08:00,True
53,3,51,51. Setting Up an Optimizer and a Loss Function,0 days 00:13:00,True
